QuestionId	Answer	AnswerId	Score1	Score2MS_43a	Because they are both different.	MS.43a.501.1		0.0
EM_43b	Move.	EM.43b.569.1		0.0
FN_27a	Overly Orange because it took the least amount of drops to turn clear.	FN.27a.263.1		2.0
FN_27b	Because Fruitsnap did not have a lot of vitamin C in it.	FN.27b.325.1		2.0
MX_41	Yes because something else can have the exact same thing and it does not have to be like that.	MX.41.564.1		1.0
MS_50a	A thermometer.	MS.50a.566.1		0.0
MS_50b	So everyone know what you are talking about.	MS.50b.319.1		2.0
MX_42a	The solid would be too big to pass through the small holes in the filter paper.	MX.42a.568.1		2.0
MX_10	Because the solution bubbled.	MX.10.502.1		1.0
PS_26p	Yes, because sound has to vibrate it.	PS.26p.504.1		0.0
PS_51b	Which side has more string is a lower pitch. Whichever side has more string it has a lower pitch.	PS.51b.145.1		2.0
PS_51a	When she tightened the string there was a higher pitch.	PS.51a.461.1		2.0
SE_48	C. Because it has more black circles.	SE.48.253.1		1.0
MX_16a	Yes, because if the same amount of solute and make a saturated solution the concentration would be the same if the solutions had the same volume.	MX.16a.497.1		1.0
LF_6b	My choices cause more erosion because if you have a bigger hole more water can pour through and if the slope is steeper water will come down harder.	LF.6b.844.1		1.0
MS_30b	That they have different hands that are big and small.	MS.30b.382.1		0.0
PS_12	Because if you put it in the water it has volume and volume helps make sound.	PS.12.531.1		0.0
EM_16b	Topaz has to have X, Y, Z as minerals.	EM.16b.606.1		0.0
PS_45b	Because Sammy used lots of different objects, plastic, metal, wood, Nathaniel thinks you should use the same object, just different shapes.	PS.45b.528.1		0.0
ST_31b	Horn.	ST.31b.427.1		0.0
SE_44	Heat sink will you power and you do not pay money for power.	SE.44.564.1		0.0
LF_26a2	To see the different landforms in front of them.	LF.26a2.747.1		1.0
FN_17c	If the syringe goes up and if it bubbles that means it has acid.	FN.17c.399.1		2.0
FN_17a	This means that there was acid and or sugar in the product.	FN.17a.250.1		2.0
EM_26	I do not know.	EM.26.578.1		0.0
ME_30	If the car goes over the magnet faster than 5 miles per hour it should turn green.	ME.30.123.1		0.0
EM_47	Because the sand is big so it goes on the bottom and the flour is small so it goes on the top of the sand.	EM.47.502.1		2.0
HYBRID_BURNED_OUT_WHY_Q3	open switch and broken bulb are the same	SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj46-l2.qa133		0.0
ME_73	Connect one of the tips of the long wire to the switch. Connect the other long end of the wire to the D-cell and connect the short wire to the D-cell and the switch.	ME.73.120.1		2.0
VOLTAGE_DIFF_DISCUSS_1_Q	bulb	FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj31-l1.qa185		1.0
LF_13a	It goes to a different place.	LF.13a.394.1		2.0
LF_13b	They get eroded away.	LF.13b.418.1		0.0
PS_2b	We hear it harder.	PS.2b.491.1		0.0
SE_4a	A substance that can take in and give off heat.	SE.4a.493.1		2.0
EM_13	Material made up of different ingredients called mineral. And rocks can be squished up and mineral can they are squish up all very squished up.	EM.13.521.1		0.0
LP_15c	The farther away the effort is from the fulcrum the easier it is to lift the load.	LP.15c.604.1		2.0
VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	The relationship is that they are different depending on whether or not they are connected to the positive or negative battery terminal.	FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbjb41-l1.qa146		0.0
VOLTAGE_DEFINE_Q	a measure of the strength of electricity	FaultFinding-VOLTAGE_DEFINE_Q.sbj43-l1.qa220		0.0
ST_58	I will look at the seed.	ST.58.456.1		2.0
LF_31b	Deltas are formed by deposition that is when earth materials are carried away then let off at another place to form a delta.	LF.31b.680.1		1.0
ST_52a	Because that is what a plant need to grow. The roots are the part of the plant that sucks up the water.	ST.52a.600.1		2.0
MX_19	Something happened so it is a reaction.	MX.19.595.1		0.0
VB_29	You use a standard so that you can test it and compare with your standard. And compare with your variable.	VB.29.458.1		1.0
II_20b	By looking at it when Sarah tries it.	II.20b.442.1		1.0
ME_36	One gets more power than the other.	ME.36.215.1		0.0
DAMAGED_BULB_EXPLAIN_2_Q	when the bulb is burned out there is no path through the bulb holder	SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj19-l1.qa125		2.0
PS_2a	Because it is vibrating.	PS.2a.154.1		2.0
MS_39	Because you might not know how much it is!	MS.39.393.1		0.0
EM_27b	Because the one thing that you put vinegar has or has not calcite.	EM.27b.559.1		0.0
EM_33b	Because it is just like a penny.	EM.33b.532.1		0.0
EM_45c	I knew the crystals were salt because of the patterns and shapes.	EM.45c.614.1		2.0
EM_45b	We poured just the water into another thing and let the water evaporate.	EM.45b.387.1		2.0
