Model	Essay Set	GPT Score	Expert Score	Category	Precision	Recall	F1	Accuracy
gpt4	5	1	1	All	0.8009180129108827	0.5805013927576602	0.6593689933740116	0.5805013927576602
gpt4	5	1	2	0	0.9743863393810032	0.6563623292595255	0.7843642611683849	N/A
gpt4	5	1	2	1	0.21025641025641026	0.2554517133956386	0.23066104078762306	N/A
gpt4	5	1	2	2	0.024896265560165973	0.125	0.04152249134948097	N/A
gpt4	5	1	2	3	0.15418502202643172	1.0	0.26717557251908397	N/A
gpt4	5	1	2	All	0.7963538731415578	0.577158774373259	0.6553967164350939	0.577158774373259
gpt4	5	2	1	0	0.9765708200212992	0.6592379583033788	0.7871244635193133	N/A
gpt4	5	2	1	1	0.21761658031088082	0.25609756097560976	0.23529411764705882	N/A
gpt4	5	2	1	2	0.024390243902439025	0.14285714285714285	0.04166666666666667	N/A
gpt4	5	2	1	3	0.15178571428571427	1.0	0.26356589147286824	N/A
gpt4	5	2	1	All	0.7999851551650211	0.5799442896935934	0.6589291585814361	0.5799442896935934
gpt4	5	2	2	0	0.9765708200212992	0.6592379583033788	0.7871244635193133	N/A
gpt4	5	2	2	1	0.22020725388601037	0.26479750778816197	0.24045261669024043	N/A
gpt4	5	2	2	2	0.024390243902439025	0.125	0.04081632653061225	N/A
gpt4	5	2	2	3	0.15178571428571427	0.9714285714285714	0.2625482625482625	N/A
gpt4	5	2	2	All	0.7997658890553504	0.5805013927576602	0.6591775997635603	0.5805013927576602
gpt4	6	1	1	0	0.999054820415879	0.6976897689768977	0.8216090167120095	N/A
gpt4	6	1	1	1	0.14018691588785046	0.28125	0.18711018711018707	N/A
gpt4	6	1	1	2	0.09826589595375723	0.23943661971830985	0.13934426229508196	N/A
gpt4	6	1	1	3	0.20816326530612245	1.0	0.34459459459459457	N/A
gpt4	6	1	1	All	0.8645471144215033	0.6510851419031719	0.7246205104082356	0.6510851419031719
gpt4	6	1	2	0	0.999054820415879	0.6981505944517834	0.8219284603421463	N/A
gpt4	6	1	2	1	0.13707165109034267	0.2732919254658385	0.18257261410788383	N/A
gpt4	6	1	2	2	0.09248554913294797	0.22535211267605634	0.13114754098360656	N/A
gpt4	6	1	2	3	0.20816326530612245	1.0	0.34459459459459457	N/A
gpt4	6	1	2	All	0.8635616774926198	0.6499721758486366	0.7238061655890591	0.6499721758486366
gpt4	6	2	1	0	1.0	0.6983498349834983	0.8223863194714341	N/A
gpt4	6	2	1	1	0.13846153846153847	0.28125	0.18556701030927836	N/A
gpt4	6	2	1	2	0.1	0.23943661971830985	0.14107883817427386	N/A
gpt4	6	2	1	3	0.20901639344262296	1.0	0.34576271186440677	N/A
gpt4	6	2	1	All	0.86528307302138	0.6516416249304396	0.725240117676219	0.6516416249304396
gpt4	6	2	2	0	1.0	0.6988110964332893	0.822706065318818	N/A
gpt4	6	2	2	1	0.13846153846153847	0.2795031055900621	0.1851851851851852	N/A
gpt4	6	2	2	2	0.09411764705882353	0.22535211267605634	0.13278008298755187	N/A
gpt4	6	2	2	3	0.20901639344262296	1.0	0.34576271186440677	N/A
gpt4	6	2	2	All	0.8645712279905721	0.6510851419031719	0.7247930338924353	0.6510851419031719
gpt4	6	1	1	0	0.9884711779448622	0.678596008258775	0.8047337278106508	N/A
gpt4	6	1	1	1	0.18565400843881857	0.27049180327868855	0.22018348623853212	N/A
gpt4	6	1	1	2	0.05555555555555555	0.20353982300884957	0.0872865275142315	N/A
gpt4	6	1	1	3	0.18008474576271186	1.0	0.30520646319569117	N/A
gpt4	6	1	1	All	0.8309246604659024	0.6158129175946548	0.6909275281967976	0.6158129175946548
gpt4	6	1	2	0	0.9874686716791979	0.6781411359724613	0.8040816326530612	N/A
gpt4	6	1	2	1	0.17721518987341772	0.26141078838174275	0.21123218776194466	N/A
gpt4	6	1	2	2	0.05314009661835749	0.18487394957983194	0.0825515947467167	N/A
gpt4	6	1	2	3	0.18220338983050846	1.0	0.3082437275985663	N/A
gpt4	6	1	2	All	0.8285098484883258	0.6135857461024499	0.6887538022568863	0.6135857461024499
gpt4	6	2	1	0	0.9889834752128193	0.6796283551273228	0.8056292066081991	N/A
gpt4	6	2	1	1	0.18143459915611815	0.26434426229508196	0.2151793160967473	N/A
gpt4	6	2	1	2	0.055288461538461536	0.20353982300884957	0.08695652173913043	N/A
gpt4	6	2	1	3	0.18162393162393162	1.0	0.3074141048824593	N/A
gpt4	6	2	1	All	0.8307939013637302	0.6158129175946548	0.6910139940228759	0.6158129175946548
gpt4	6	2	2	0	0.9889834752128193	0.6798623063683304	0.8057935536515708	N/A
gpt4	6	2	2	1	0.1828410689170183	0.2697095435684647	0.21793797150041913	N/A
gpt4	6	2	2	2	0.052884615384615384	0.18487394957983194	0.08224299065420561	N/A
gpt4	6	2	2	3	0.18162393162393162	0.9883720930232558	0.30685920577617326	N/A
gpt4	6	2	2	All	0.8304675161641619	0.6158129175946548	0.6909947614714969	0.6158129175946548
