Question	Number of Answers	Represents	Number of Terms	Number of Words	Type-Token Ratio	Root Type-Token Ratio (Guiraud's R)	Corrected Type-Token Ratio	Herdan’s C	Summer	Maas	Dugast	Yule's K	Yule's I	Herdan's VM	Simpson's D	Number of Terms Skipped	Number of Words Skipped	Type-Token Ratio Skipped	Root Type-Token Ratio (Guiraud's R) Skipped	Corrected Type-Token Ratio Skipped	Herdan’s C Skipped	Summer Skipped	Maas Skipped	Dugast Skipped	Yule's K Skipped	Yule's I Skipped	Herdan's VM Skipped	Simpson's D Skipped
5	100	text-davinci-003 Total	630	5477	0,11502647434727041	8,512736272126627	6,01941354447343	0,7487785330917809	0,8656068128224618	0,02918358953595236	34,26583281566726	205,48559182991374	0,6388701543493552	0,13836126373014562	0,020552311659102217	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	100	text-davinci-003 Average	40,87	54,77	0,7701009359079392	5,513714178783385	3,8987846853421484	0,9337431988711197	0,9503654299545629	0,01651070481110505	68,52880933681733	159,76409373397217	37,593203139882306	0,09705461229863444	0,016295217938832266	0	0	0	0	0	0	0	0	2	0	2	0	0
6	100	text-davinci-003 Total	538	4479	0,12011609734315695	8,038809636421206	5,6842968065812	0,7479175173629884	0,8635738677190354	0,029984278873429582	33,35081041038959	162,31137135163917	0,8782713974044258	0,12081252086245056	0,016234761774988653	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	100	text-davinci-003 Average	34,69	44,79	0,806878694010968	5,190271003491083	3,670075822764452	0,9422449051857897	0,9553288163823279	0,015020790334814729	94,0609955681167	122,09415083623645	64,53510776939825	0,07685923127922994	0,01250749629138873	0	0	0	0	0	0	0	0	2	0	2	0	0
5	100	gpt4 Total	1338	8392	0,15943755958055292	14,6057336248057	10,327813290304483	0,7967796381408822	0,8967897296581464	0,022492484088442042	44,45929565040167	141,2397048893994	1,7871272500758677	0,11617119883731551	0,014125653717457274	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	100	gpt4 Average	61,29	83,92	0,7526119790235346	6,630715665524031	4,688624011211913	0,9344162282174091	0,9537844580466625	0,0150188212186819	73,1876705904491	137,4392532176225	41,71848350317131	0,09332517737979984	0,013946565185789357	0	0	0	0	0	0	0	0	1	0	1	0	0
6	100	gpt4 Total	1203	8878	0,13550349177742735	12,767564396087653	9,028031363709507	0,7801468519055579	0,8875229013483581	0,02418272241303523	41,351837188561085	104,44730478548772	1,7417010363249277	0,09862105893130113	0,010445907084437983	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	100	gpt4 Average	63,01	88,78	0,7512326717246754	6,609516327580046	4,673633815595055	0,9340775488534763	0,9538434705161911	0,014861135755982162	76,19511588533346	102,22636306991852	51,878627574966366	0,0738843043646368	0,010374028989535428	0	0	0	0	0	0	0	0	4	0	4	0	0
5	100	experts Total	507	2648	0,19146525679758308	9,85255729221478	6,966810073354038	0,7902637382876117	0,8859842108221042	0,026611008977865797	37,578432325950835	317,95928752019427	1,1419781332883145	0,17378488331491881	0,03180794081426046	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	100	experts Average	17,35	26,48	0,7794789533212898	3,262555444667085	2,3069750789211887	0,9127213586548548	0,9184947696004113	0,027197374258828372	35,293458524043395	297,1232959677776	13,717770789501426	0,10851221815868066	0,03366920983815687	0	0	0	0	0	7	7	7	25	0	25	0	7
6	100	experts Total	499	2278	0,21905179982440737	10,45499154052165	7,3927954155508475	0,803591177040005	0,8930863464788419	0,025405183395000336	39,36204610106444	211,69394467521917	2,2305321903021507	0,14001559918189194	0,021178691522624034	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	100	experts Average	15,64	22,78	0,8200255806397325	3,138101571031342	2,218972900928419	0,9305640927541285	0,9347195873332277	0,021612935269465054	39,413449990911424	198,08372973053653	18,161930661723975	0,07868498658063476	0,022368302668467045	0	0	0	0	0	6	6	6	34	0	34	1	6
5	200	text-davinci-003 Total	841	10914	0,07705699102070734	8,050150896002812	5,692316288138549	0,7243208572432216	0,8553574332555062	0,029649927284005267	33,72689553068323	211,499443783069	0,27962877521836577	0,14160688250023362	0,021151882428740172	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	200	text-davinci-003 Average	40,425	54,57	0,7685661595360525	5,460384522866775	3,861074924005166	0,9329572849725294	0,949549511481407	0,016781170954896195	68,00995969795221	164,66272177251994	37,22625174040302	0,09899816645215746	0,0168133035745494	0	0	0	0	0	0	0	0	5	0	5	1	0
6	200	text-davinci-003 Total	725	8605	0,084253341080767	7,815604409356712	5,526466876927612	0,7269425937456719	0,8552971279705556	0,030138458203966562	33,18019764754883	155,82929671106584	0,45244866725085087	0,11966549557503194	0,015584740797288723	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	200	text-davinci-003 Average	34,495	43,025	0,8261220295001419	5,241438659367442	3,7062568192120464	0,9484428465465112	0,9598732891142027	0,013639037651831937	90,0239448016516	111,10062525520297	60,090532240173374	0,0737204808544025	0,011399672866120624	0	0	0	0	0	0	0	0	5	0	5	0	0
5	200	gpt4 Total	1792	16254	0,11024978466838932	14,055874719339016	9,939004329553178	0,7725881528188593	0,8864257898917856	0,02345396402712405	42,63671585935408	147,75740278729168	0,819596835406531	0,1194957232782024	0,014776649387218599	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	200	gpt4 Average	59,345	81,27	0,7522597886226005	6,515378437719022	4,607068275307734	0,9338385334177819	0,9530508847695098	0,015302765169961468	70,02498814372721	140,93058377879362	39,253330108235645	0,09479968556612714	0,014313990141963974	0	0	0	0	0	0	0	0	0	0	0	0	0
6	200	gpt4 Total	1749	17275	0,10124457308248914	13,307019137330249	9,409483469385382	0,7652749307686655	0,8825629064512143	0,02405705573139584	41,56784650479661	98,99954134300633	1,02999232977522	0,09688181442190266	0,009900527247310607	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	200	gpt4 Average	61,89	86,375	0,7546806055745827	6,569252200894056	4,6451627785768395	0,9346336253174324	0,953842696754998	0,014953504950708671	77,8488092745343	100,10689588386002	54,960165106771896	0,07234971410930054	0,010171704225849428	0	0	0	0	0	0	0	0	5	0	5	0	0
5	200	experts Total	802	5407	0,14832624375809136	10,906770717952645	7,712251535511186	0,7779824034252831	0,8832988440850481	0,025829666230142233	38,7151731303844	292,94509589987206	0,7470004610655143	0,16802551067639887	0,029299928478183655	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	200	experts Average	18,635	27,035	0,7908005085834315	3,451943997068753	2,4408930086035103	0,9210622002473126	0,9267471999069479	0,02427653142527699	42,53613792680282	273,0874859821784	18,532647547888974	0,10388170850543867	0,030115463562164733	0	0	0	0	0	9	9	9	49	0	49	0	9
6	200	experts Total	783	4706	0,16638334041648958	11,41394566073062	8,07087837679739	0,7879215953087773	0,8883547203715739	0,025078467228394418	39,87484525640295	205,98890042623563	1,3324690566488813	0,13976496528845375	0,020603268127648563	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	200	experts Average	16,255	23,53	0,8087263570905886	3,2071876265098886	2,267824119242731	0,9253977184978254	0,926292425258463	0,024270312768167015	42,51288895156706	237,3589390276369	20,26122016907693	0,0882858051776528	0,02682484878187676	0	0	0	0	0	10	10	10	56	0	56	0	10
5	400	text-davinci-003 Total	1185	22325	0,05307950727883538	7,930902604711518	5,607995012721567	0,706798284827922	0,8493834879019264	0,02928075258003355	34,15212765678355	208,3735310972865	0,13493607995084655	0,14155657556728074	0,020838286515619604	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	400	text-davinci-003 Average	41,5725	55,8125	0,7670837847765071	5,546927272745353	3,92226988930684	0,9328094280689903	0,949414153206923	0,016827674650966733	66,82239809256392	165,5330311758024	35,5777019558223	0,09978924321021874	0,016907253392013613	0	0	0	0	0	0	0	0	6	0	6	0	0
6	400	text-davinci-003 Total	1047	18256	0,057351007887817704	7,748968012486898	5,4793478288271285	0,7086738381561493	0,8492051421076828	0,029690049620952653	33,68131790841761	159,7696669280833	0,20520430689641422	0,1227869429825856	0,015977841903254388	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	400	text-davinci-003 Average	35,425	45,64	0,812658978164912	5,244542115501218	3,7084512940893575	0,9446174287011335	0,9573623463144681	0,01435677838964988	87,97981206825187	114,83486507148683	58,38158979686315	0,07495607209863132	0,011768279441663577	0	0	0	0	0	0	0	0	13	0	13	1	0
5	400	gpt4 Total	2764	33577	0,0823182535664294	15,08401978444774	10,666012677135042	0,7603858121128504	0,8831299819048648	0,022992080519489685	43,49323668870812	140,6940922280443	0,48069943292198547	0,11720664236096154	0,01406982825453015	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	400	gpt4 Average	61,545	83,9425	0,7571152924886149	6,665027497799392	4,712886140488763	0,9358816582914347	0,9549778823960453	0,014619023906988169	75,58505028414073	132,84465106354978	44,20406258783864	0,09240621743882277	0,013473295244751162	0	0	0	0	0	0	0	0	4	0	4	2	0
6	400	gpt4 Total	2709	33486	0,08089948037986024	14,803941784168208	10,467967623876218	0,7586547477782326	0,882144500516234	0,0231642162319479	43,17003389999478	99,95601617446422	0,6529675725535986	0,0982666013447386	0,009995900127275225	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	400	gpt4 Average	60,085	83,715	0,7588440470722744	6,481933289405332	4,583418984137333	0,9352564418847303	0,954073287504841	0,014869221498513394	80,84445988572297	101,06460303009166	57,68805610089076	0,07253159807317948	0,010279357599704648	0	0	0	0	0	0	0	0	9	0	9	2	0
5	400	experts Total	1159	9554	0,12131044588653966	11,857436771178646	8,384473948391141	0,7698343804505045	0,8819244806736954	0,02511432321447802	39,81791551617506	282,85940643729816	0,5185802444113724	0,16591502667299646	0,02828890159219038	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	400	experts Average	16,63	23,885	0,8079026101927258	3,287179486485849	2,324386905871458	0,9259268138605387	0,9290806039528583	0,023296489428804867	41,626645077897884	260,908346353291	18,39826599015099	0,09729166663888222	0,029051531955520134	0	0	0	0	0	20	20	20	121	0	121	0	20
6	400	experts Total	1232	8865	0,1389734912577552	13,08492801774448	9,25244133268497	0,7828931661946175	0,8891068101992183	0,023884491651078532	41,868171808247126	207,7077068479406	0,9255188049056965	0,1416752820064043	0,020773113957660128	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	400	experts Average	15,7075	22,1625	0,82030208160125	3,1811810270925918	2,249434676439156	0,9277784703919715	0,9277196346802584	0,02367298087125023	45,51034517285348	221,85141534637052	22,860438382634676	0,08273387514641284	0,025615348065311544	0	0	0	0	0	28	28	28	121	0	121	0	28
5	800	text-davinci-003 Total	1654	44266	0,037365020557538514	7,8614085253323855	5,558855277940266	0,6927436115830248	0,8451110037436037	0,02872099343880431	34,817737141672886	206,3295245034032	0,0675945341971441	0,141601370864144	0,020633418573743692	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	800	text-davinci-003 Average	41,28375	55,3325	0,7734228124640127	5,542222855912288	3,9189433642626543	0,9348783408551731	0,9513117764060097	0,016177463766264662	71,15727484741396	158,53344278304343	39,35930030714383	0,09703918232277774	0,016163796057655073	0	0	0	0	0	0	0	0	18	0	18	1	0
6	800	text-davinci-003 Total	1462	35461	0,04122839175432165	7,763756097715735	5,489804584173204	0,6956309010208274	0,8455002725842506	0,02905341869742311	34,41935733672178	161,93018717911866	0,10479496982732818	0,1246484022530096	0,016193475373826077	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	800	text-davinci-003 Average	34,4025	44,32625	0,8145766784339608	5,17383448660466	3,658453450214976	0,9447623500036942	0,9573071435111297	0,014373232457789369	88,36169658423076	114,49187123083193	58,58867668263511	0,07388418988899612	0,011737475206361904	0	0	0	0	0	0	0	0	33	0	33	2	0
5	800	gpt4 Total	3786	67795	0,05584482631462497	14,54058157114667	10,281743831353953	0,7406404907625297	0,8753739598295831	0,023314799248511205	42,89121211557746	146,7444699145479	0,2123206223301698	0,12010439764136514	0,014674663447881485	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	800	gpt4 Average	61,60625	84,74375	0,7498762817567982	6,632905485613866	4,690172447847024	0,9337016019881194	0,9533344835653059	0,015149801513280752	72,38662539968006	138,90757767105382	40,49804729252742	0,09484647191793229	0,014093232221772476	0	0	0	0	0	0	0	0	5	0	5	1	0
6	800	gpt4 Total	3544	68890	0,05144433154303963	13,502544611610524	9,54774085814368	0,7336459547133964	0,8715120435216942	0,023909127296291837	41,82503140359682	101,92879347754423	0,2592936606505827	0,09962543952108795	0,010193027308667597	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	800	gpt4 Average	61,84625	86,1125	0,7548357499753331	6,5720321294318556	4,647128484897125	0,9346198876215399	0,9538324447626363	0,014935658365358066	77,84772013397664	100,71223481769128	54,55015689801112	0,07308963729296099	0,01023799188587766	0	0	0	0	0	0	0	0	13	0	13	1	0
5	800	experts Total	1745	19332	0,09026484585143803	12,550384695727832	8,874462124849014	0,7563196668797945	0,8780095480460945	0,024690198345703615	40,50190225280275	271,50034834055424	0,2995813667626008	0,16318301577319747	0,027151439315708417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	800	experts Average	17,1725	24,165	0,8064588975681605	3,3508699558558313	2,3694228686599264	0,9258875890950803	0,9310396448964087	0,023018279256709025	41,80491379195108	252,58688443547507	18,362261964143364	0,09731672914406564	0,02815092929183985	0	0	0	0	0	44	44	44	225	0	225	1	44
6	800	experts Total	1845	18767	0,09831086481590025	13,46787086310735	9,52322281544793	0,764262719004357	0,8824182756655218	0,023957393082814023	41,740768561223625	211,5710927199154	0,4557866130938338	0,14376504746814425	0,021158236689090122	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	800	experts Average	16,4775	23,45875	0,8130205850284584	3,258986093663946	2,3044511666224325	0,927585913857744	0,9302383908219355	0,022978358927441808	42,96139148468013	218,77241577890499	20,566613224820017	0,08396683885955054	0,024688949353975996	0	0	0	0	0	44	44	44	239	0	239	2	44
5	1200	text-davinci-003 Total	1950	66210	0,02945174444947893	7,578317865891078	5,358679952958747	0,6824490269111299	0,841268067024615	0,02860668351644893	34,956865916491054	204,14131316965708	0,042459942714977064	0,14112552661668704	0,02041443964561162	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1200	text-davinci-003 Average	41,1175	55,175	0,7699773939542714	5,532733773816063	3,9122335699651716	0,9337079471660015	0,9503426959472404	0,016509824367528354	68,98356725814283	159,67476082667736	37,91107771739302	0,09766853367192885	0,01628334390897877	0	0	0	0	0	0	0	0	18	0	18	3	0
6	1200	text-davinci-003 Total	1792	54583	0,03283073484418225	7,670246204703901	5,423683104716508	0,6867845857472828	0,8427525932720762	0,02871565922054713	34,824204881372275	158,31628379417054	0,06800640482534284	0,12366047625535265	0,01583191843160238	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1200	text-davinci-003 Average	35,3375	45,48583333333333	0,8141694553403603	5,248396716333248	3,7111769084764488	0,9449538534955051	0,9575947469158247	0,014276501964145233	89,5098962012562	115,0753174023158	59,803159730053764	0,074731524299432	0,011792535215979765	0	0	0	0	0	0	0	0	44	0	44	3	0
5	1200	gpt4 Total	4528	100865	0,04489168690824369	14,257263353130835	10,081407598161267	0,7306346968627719	0,8715983385435919	0,023379282945556388	42,77291148444167	145,3734736982839	0,13853639710718793	0,11969299710133273	0,014537491498034388	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1200	gpt4 Average	61,321666666666665	84,05416666666666	0,751222491093992	6,6244548667013925	4,6841969579087674	0,9339385459899053	0,9533558768514829	0,015162941178928573	71,71738602305065	138,10282589577207	40,51818042581669	0,09412185360222808	0,014021023443994451	0	0	0	0	0	0	0	0	6	0	6	2	0
6	1200	gpt4 Total	4385	104600	0,041921606118546846	13,558253679210605	9,587133117617277	0,7255596391443362	0,8689155600394078	0,023744831554396748	42,11442804759899	101,58290894201347	0,1728477642073415	0,09969855040375072	0,010158388010721525	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1200	gpt4 Average	61,87416666666667	87,16666666666667	0,7497403724918953	6,539172102328362	4,623892936902276	0,9331495450456705	0,9529400033879134	0,01517259313509431	76,20220073485099	102,8195401822517	52,528461369366084	0,07380805091367279	0,010443115127884216	0	0	0	0	0	0	0	0	30	0	30	3	0
5	1200	experts Total	2164	30229	0,07158688676436535	12,446446197934838	8,800966508233246	0,7444066498522884	0,873522094985425	0,02477506303331566	40,36316673161535	276,12528696765617	0,18538644906994942	0,1648742014516756	0,027613442171977233	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1200	experts Average	17,686666666666667	25,190833333333334	0,7973520647886089	3,390894808625952	2,3977247134696733	0,9230288008674996	0,9286786457304143	0,023725193131899507	40,59934374171959	259,56540878421026	17,449999177612906	0,09971240386436536	0,028807618161385697	0	0	0	0	0	62	62	62	325	0	325	1	62
6	1200	experts Total	2369	28251	0,08385543874553113	14,094450481950805	9,966281512885416	0,7581530928080744	0,8810271346879983	0,02359738914262968	42,37756956736615	209,2528555149635	0,3355201100034376	0,1433128169112097	0,020926026269568968	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1200	experts Average	16,466666666666665	23,5425	0,8172588920768198	3,2449823633312946	2,2945490339423027	0,9291035052463273	0,9305483738020398	0,02263979643583212	43,50484851344444	213,8777437661653	21,070912554683765	0,08174531285416924	0,024250832363153438	0	0	0	0	0	68	68	68	378	0	378	2	68
5	1600	text-davinci-003 Total	2212	88298	0,025051530045980656	7,444056989418419	5,263743176756879	0,676267357440123	0,8391981781822068	0,028426343905500178	35,17863582191135	206,83189735892384	0,030326285059582504	0,14227591312207305	0,020683423981560253	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1600	text-davinci-003 Average	41,1425	55,18625	0,7697739729125033	5,531589949499002	3,9114247640340882	0,9336374243954982	0,9502278136080382	0,016553139491245216	69,41559064097417	160,29277412963563	38,24457524710177	0,0979824468448044	0,016352370016351262	0	0	0	0	0	0	0	0	23	0	23	5	0
6	1600	text-davinci-003 Total	2038	72453	0,028128579906974177	7,571396558787115	5,353785849770859	0,6808983118585987	0,8408574826838	0,028514916638806617	35,06936431436298	159,2535631375337	0,04964103258899146	0,12429191940867518	0,015925576119366926	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1600	text-davinci-003 Average	35,180625	45,283125	0,815155419735765	5,233002535503172	3,7002915788206963	0,9452796091485829	0,9578455996929252	0,014190270470646183	90,71185741083683	113,93777082007473	60,36902891077185	0,0742700523435071	0,011678856696285484	0	0	0	0	0	0	0	0	57	0	57	0	0
5	1600	gpt4 Total	5297	136786	0,03872472329039522	14,322180674367415	10,12731107622412	0,7250778375412574	0,8698642675041407	0,02324692559962691	43,01644084996981	146,39522222466664	0,10238617378183301	0,1202416184472518	0,014639629248253284	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1600	gpt4 Average	62,185	85,49125	0,7489910549917067	6,665698361380717	4,713360512676351	0,9335931976548086	0,9533123117620128	0,015143919641214603	71,28377422145658	138,86106016412003	39,74245253485823	0,09474151689436192	0,01408912034125899	0	0	0	0	0	0	0	0	12	0	12	2	0
6	1600	gpt4 Total	4974	138227	0,035984286716777475	13,378559045325142	9,460069823454031	0,7191205110911758	0,8665724301529665	0,023729638760060984	42,141391620469406	101,60566824378864	0,127353201121845	0,0998336409469877	0,010160640331293805	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1600	gpt4 Average	61,601875	86,391875	0,7520511981340458	6,532610564268757	4,619253228845312	0,933742631041244	0,9532499724459413	0,015100673737671393	75,50715393380558	102,8034353887127	51,8700213414784	0,07390946084036333	0,010445465527259752	0	0	0	0	0	0	0	0	46	0	46	6	0
5	1600	experts Total	2620	40194	0,06518385828730656	13,068347589222718	9,240717199242255	0,7424373565377691	0,8738595218686639	0,024294986482131967	41,160755563106065	278,6066989936842	0,1523793726935205	0,16584290712984864	0,027861363071560077	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	1600	experts Average	17,559375	25,12125	0,7981054930828192	3,3700153246427362	2,3829606887574526	0,922945544747896	0,9282818394217343	0,023838721464259784	41,015184232733716	259,987128063965	17,78260203748933	0,10011016999633211	0,028936425316101952	0	0	0	0	0	86	86	86	426	0	426	3	86
6	1600	experts Total	2839	38385	0,07396118275367983	14,490541668195052	10,246360276646948	0,7532817852667745	0,8797797098301016	0,023373600208715338	42,783310703976575	213,68711987473807	0,2557050545897572	0,14506042578035283	0,021369268696310492	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	1600	experts Average	16,703125	23,990625	0,8120855118531568	3,2639135266006116	2,307935387865784	0,9271801895143258	0,9288739438602462	0,023208824049855838	42,78297149164922	219,44242872767714	20,477020733559907	0,08403479707784131	0,024886800161193504	0	0	0	0	0	92	92	92	481	0	481	0	92
5	2400	text-davinci-003 Total	2668	133221	0,020026872640199367	7,3096987765606265	5,168737573337029	0,6685798081089187	0,8368774218276142	0,02808701705616859	35,60363843551609	204,7931667474998	0,019577392297662886	0,14181681989497885	0,020479470400291754	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	2400	text-davinci-003 Average	41,32333333333333	55,50875	0,7685982332819941	5,538851036385779	3,9165591278105185	0,9333412427115928	0,9500629216913581	0,016597941207550843	68,38678395860222	159,9461160442307	37,48441016291309	0,09759409129663552	0,01631233218427218	0	0	0	0	0	0	0	0	41	0	41	5	0
6	2400	text-davinci-003 Total	2450	108122	0,022659588242910787	7,450905394321648	5,268585730304264	0,6732665748536937	0,8385401025572458	0,028188507313917577	35,47545064602508	160,63737422733908	0,03194575213728125	0,12515919050934896	0,016063885994587877	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
